,Product_Name,GPU_Chip,Released,Bus,Memory,GPU_clock,Memory_clock,Shaders_TMUs_ROPs
32,Voodoo Graphics 4 MB,SST1,"Oct 7th, 1996",PCI,"4 MB, EDO, 128 bit",50 MHz,50 MHz,1 / 0 / 1 / 1
33,3D Rage,Mach64 GT,"Apr 1st, 1996",PCI,"2 MB, EDO, 64 bit",44 MHz,66 MHz,1 / 0 / 1 / 1
34,3D Rage II,Mach64 GT-B,"Sep 5th, 1996",PCI,"4 MB, SDR, 64 bit",60 MHz,83 MHz,1 / 0 / 1 / 1
35,3D Rage II+ DVD,Mach64 GT-B,"Sep 1st, 1996",PCI,"4 MB, SDR, 64 bit",60 MHz,83 MHz,1 / 0 / 1 / 1
36,3D Rage IIC AGP,Rage 2,"Sep 1st, 1996",AGP 2x,"4 MB, SDR, 64 bit",60 MHz,83 MHz,1 / 0 / 1 / 1
37,3D Rage IIC PCI,Rage 2,"Sep 1st, 1996",PCI,"2 MB, SDR, 64 bit",60 MHz,83 MHz,1 / 0 / 1 / 1
38,Video Xpression,Mach64,"May 21st, 1996",PCI,"1 MB, EDO, 64 bit",62 MHz,62 MHz,1 / 0 / 0 / 1
39,Video Xpression+,Mach64,"May 1st, 1996",PCI,"2 MB, EDO, 64 bit",62 MHz,62 MHz,1 / 0 / 0 / 1
40,3D Rage PRO AGP,Rage 3,"Mar 1st, 1997",AGP 2x,"2 MB, SDR, 64 bit",75 MHz,75 MHz,1 / 0 / 1 / 1
41,3D Rage PRO PCI,Rage 3,"Mar 1st, 1997",PCI,"8 MB, SDR, 64 bit",75 MHz,75 MHz,1 / 0 / 1 / 1
42,Rage LT PRO AGP,Mach64 LT,"Nov 1st, 1997",AGP 2x,"8 MB, SDR, 64 bit",75 MHz,100 MHz,1 / 0 / 1 / 1
43,Rage LT PRO AGP,Mach64 LT,"Nov 1st, 1997",AGP 2x,"8 MB, SDR, 64 bit",75 MHz,100 MHz,1 / 0 / 1 / 1
44,Rage PRO Turbo AGP,Rage 3 Turbo,"Mar 1st, 1997",AGP 2x,"4 MB, SDR, 64 bit",75 MHz,75 MHz,1 / 0 / 1 / 1
45,Rage PRO Turbo PCI,Rage 3 Turbo,"Mar 1st, 1997",PCI,"8 MB, SDR, 64 bit",75 MHz,75 MHz,1 / 0 / 1 / 1
46,Riva 128,NV3,"Apr 1st, 1997",AGP 2x,"4 MB, SDR, 128 bit",100 MHz,100 MHz,1 / 0 / 1 / 1
47,Riva 128 PCI,NV3,"Apr 1st, 1997",PCI,"4 MB, SDR, 128 bit",100 MHz,100 MHz,1 / 0 / 1 / 1
48,Playstation GPU 350nm,GTE-2,"Nov 13th, 1997",IGP,"1 MB, SGRAM, 32 bit",53 MHz,33 MHz,2 / 1 / 3 / 1
49,Voodoo Banshee AGP 16 MB,Banshee,"Jun 22nd, 1998",AGP 2x,"16 MB, SDR, 128 bit",100 MHz,100 MHz,1 / 0 / 1 / 1
50,Voodoo Banshee PCI 16 MB,Banshee,"Jun 22nd, 1998",PCI,"16 MB, SDR, 128 bit",100 MHz,100 MHz,1 / 0 / 1 / 1
51,Voodoo2 12 MB,SST2,"Feb 2nd, 1998",PCI,"12 MB, EDO, 192 bit",90 MHz,90 MHz,1 / 0 / 2 / 1
52,Voodoo2 8 MB,SST2,"Feb 2nd, 1998",PCI,"8 MB, EDO, 192 bit",90 MHz,90 MHz,1 / 0 / 2 / 1
53,Rage 128 GL,Rage 4,"Aug 27th, 1998",AGP 2x,"32 MB, SDR, 128 bit",80 MHz,60 MHz,2 / 0 / 2 / 2
54,Rage 128 GL PCI,Rage 4,"Aug 27th, 1998",PCI,"32 MB, SDR, 128 bit",103 MHz,103 MHz,2 / 0 / 2 / 2
55,Rage 128 PRO Ultra GL,Rage 4,"Aug 1st, 1998",AGP 4x,"16 MB, DDR, 64 bit",130 MHz,130 MHz,2 / 0 / 2 / 2
56,Rage 128 VR AGP,Rage 4,"Aug 1st, 1998",AGP 2x,"32 MB, DDR, 64 bit",80 MHz,125 MHz,2 / 0 / 2 / 2
57,Rage 128 VR PCI,Rage 4,"Aug 1st, 1998",PCI,"32 MB, DDR, 64 bit",80 MHz,125 MHz,2 / 0 / 2 / 2
58,Rage XL PCI,Rage 3,"Aug 1st, 1998",PCI,"8 MB, SDR, 64 bit",125 MHz,83 MHz,1 / 0 / 1 / 1
59,i740,Auburn,"Feb 12th, 1998",AGP 2x,"4 MB, SDR, 64 bit",66 MHz,100 MHz,2 / 0 / 1 / 1
60,i740 8 MB,Auburn,"Feb 12th, 1998",AGP 2x,"8 MB, SDR, 64 bit",66 MHz,100 MHz,2 / 0 / 1 / 1
61,i740 Graphics,Auburn,1998,AGP 2x,System Shared,66 MHz,System Shared,2 / 0 / 1 / 1
62,i752 Graphics,Portola,1998,AGP 2x,System Shared,100 MHz,System Shared,2 / 0 / 1 / 1
63,Marvel G200,Eclipse,1998,AGP 2x,"8 MB, SDR, 64 bit",84 MHz,112 MHz,1 / 1 / 1 / 1
64,Millennium G200,Eclipse,1998,PCI,"8 MB, SGR, 64 bit",84 MHz,143 MHz,1 / 1 / 1 / 1
65,Millennium G200 SD,Eclipse,1998,PCI,"8 MB, SDR, 64 bit",84 MHz,112 MHz,1 / 1 / 1 / 1
66,Mystique G200,Eclipse,1998,AGP 2x,"8 MB, SDR, 64 bit",84 MHz,112 MHz,1 / 1 / 1 / 1
67,Productiva G100,Twister,1998,AGP 2x,"2 MB, SGR, 64 bit",41 MHz,62 MHz,1 / 1 / 1 / 1
68,Riva 128ZX,NV3,"Feb 23rd, 1998",AGP 2x,"8 MB, SDR, 128 bit",100 MHz,100 MHz,1 / 0 / 1 / 1
69,Riva TNT,NV4,"Mar 23rd, 1998",AGP 2x,"16 MB, SDR, 128 bit",90 MHz,110 MHz,2 / 0 / 2 / 2
70,Velocity 100,Avenger,"Jul 26th, 1999",AGP 2x,"8 MB, SDR, 128 bit",143 MHz,143 MHz,1 / 0 / 2 / 1
71,Velocity 200,Avenger,Never Released,AGP 2x,"12 MB, SDR, 128 bit",143 MHz,143 MHz,1 / 0 / 2 / 1
72,Voodoo3 1000 AGP,Avenger,Mar 1999,AGP 2x,"16 MB, SDR, 128 bit",143 MHz,143 MHz,1 / 0 / 2 / 1
73,Voodoo3 2000 AGP,Avenger,"Apr 3rd, 1999",AGP 2x,"16 MB, SDR, 128 bit",143 MHz,143 MHz,1 / 0 / 2 / 1
74,Voodoo3 2000 PCI,Avenger,"Apr 3rd, 1999",PCI,"16 MB, SDR, 128 bit",143 MHz,143 MHz,1 / 0 / 2 / 1
75,Voodoo3 3000 AGP,Avenger,"Apr 3rd, 1999",AGP 2x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,1 / 0 / 2 / 1
76,Voodoo3 3000 PCI,Avenger,"Apr 3rd, 1999",PCI,"16 MB, SDR, 128 bit",166 MHz,166 MHz,1 / 0 / 2 / 1
77,Voodoo3 3500 TV AGP,Avenger,Jun 1999,AGP 2x,"16 MB, SDR, 128 bit",183 MHz,183 MHz,1 / 0 / 2 / 1
78,All-In-Wonder 128,Rage 4,"Jun 16th, 1999",AGP 4x,"32 MB, SDR, 128 bit",90 MHz,90 MHz,2 / 0 / 2 / 2
79,All-In-Wonder 128 PCI,Rage 4,"Jun 16th, 1999",PCI,"16 MB, SDR, 128 bit",90 MHz,90 MHz,2 / 0 / 2 / 2
80,All-In-Wonder 128 PRO,Rage 4,"Jun 16th, 1999",AGP 4x,"32 MB, SDR, 128 bit",120 MHz,120 MHz,2 / 0 / 2 / 2
81,All-In-Wonder 128 PRO Ultra,Rage 4,"Jun 16th, 1999",AGP 4x,"32 MB, SDR, 128 bit",134 MHz,134 MHz,2 / 0 / 2 / 2
82,Fire GL1,IBM,"Mar 1st, 1999",AGP 2x,"32 MB, SDR, 256 bit",45 MHz,100 MHz,2 / 0 / 1 / 1
83,Rage 128 PRO,Rage 4 PRO,"Aug 1st, 1999",AGP 4x,"32 MB, SDR, 128 bit",118 MHz,143 MHz,2 / 0 / 2 / 2
84,Rage 128 PRO Ultra,Rage 4 PRO,"Aug 1st, 1999",AGP 4x,"32 MB, SDR, 64 bit",130 MHz,130 MHz,2 / 0 / 2 / 2
85,Rage 128 Ultra,Rage 4,"Aug 1st, 1999",AGP 4x,"16 MB, DDR, 64 bit",130 MHz,130 MHz,2 / 0 / 2 / 2
86,Rage Fury,Rage 4,"Aug 1st, 1999",AGP 2x,"32 MB, SDR, 128 bit",80 MHz,120 MHz,2 / 0 / 2 / 2
87,Rage Fury MAXX,Rage 4,"Oct 1st, 1999",AGP 4x,"32 MB, SDR, 128 bit",125 MHz,143 MHz,2 / 0 / 2 / 2
88,Rage Mobility 128,M3,"Oct 1st, 1999",AGP 2x,"16 MB, SDR, 64 bit",105 MHz,105 MHz,2 / 0 / 2 / 2
89,Rage Mobility 128,M4,"Oct 1st, 1999",AGP 4x,"16 MB, DDR, 64 bit",105 MHz,105 MHz,2 / 0 / 2 / 2
90,Rage Mobility-CL,Rage Mobility,"Feb 1st, 1999",AGP 2x,"8 MB, SDR, 64 bit",75 MHz,70 MHz,1 / 0 / 1 / 1
91,Rage Mobility-M,Rage Mobility,"Feb 1st, 1999",AGP 2x,"4 MB, SDR, 64 bit",75 MHz,70 MHz,1 / 0 / 1 / 1
92,Rage Mobility-M1,M1,"Feb 1st, 1999",AGP 2x,"8 MB, SDR, 64 bit",83 MHz,125 MHz,2 / 0 / 2 / 2
93,Rage Mobility-M3,M3,"Oct 1st, 1999",AGP 2x,"8 MB, SDR, 64 bit",105 MHz,105 MHz,2 / 0 / 2 / 2
94,Rage Mobility-M4,M4,"Oct 1st, 1999",AGP 4x,"16 MB, SDR, 64 bit",105 MHz,105 MHz,2 / 0 / 2 / 2
95,Rage Mobility-P,Rage Mobility,"Feb 1st, 1999",AGP 2x,"8 MB, SDR, 64 bit",75 MHz,70 MHz,1 / 0 / 1 / 1
96,Rage XL PCI,Rage 3,"Jan 11th, 1999",PCI,"8 MB, SDR, 32 bit",83 MHz,83 MHz,1 / 0 / 1 / 1
97,i752,Portola,"Apr 27th, 1999",AGP 2x,"16 MB, SDR, 64 bit",100 MHz,133 MHz,2 / 0 / 1 / 1
98,i810 Graphics,Whitney,1999,FSB,System Shared,133 MHz,System Shared,2 / 0 / 1 / 1
99,Marvel G400-TV,Toucan,"May 20th, 1999",PCI,"16 MB, SDR, 128 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
100,Millennium G200A,Calao,1999,PCI,"8 MB, SDR, 64 bit",84 MHz,112 MHz,1 / 1 / 1 / 1
101,Millennium G250,Calao,1999,PCI,"8 MB, SDR, 64 bit",96 MHz,128 MHz,1 / 1 / 1 / 1
102,Millennium G400,Toucan,"May 20th, 1999",PCI,"32 MB, SDR, 128 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
103,Millennium G400 MAX,Toucan,"May 20th, 1999",PCI,"32 MB, SDR, 128 bit",150 MHz,200 MHz,2 / 1 / 2 / 2
104,GeForce 256 DDR,NV10,"Dec 23rd, 1999",AGP 4x,"32 MB, DDR, 128 bit",120 MHz,150 MHz,4 / 0 / 4 / 4
105,GeForce 256 SDR,NV10,"Oct 11th, 1999",AGP 4x,"32 MB, SDR, 64 bit",120 MHz,143 MHz,4 / 0 / 4 / 4
106,Quadro,NV10,1999,AGP 4x,"32 MB, SDR, 128 bit",135 MHz,166 MHz,4 / 0 / 4 / 4
107,Riva TNT2 M64,NV5B,"Oct 12th, 1999",AGP 4x,"16 MB, SDR, 64 bit",125 MHz,143 MHz,2 / 0 / 2 / 2
108,Riva TNT2 M64 Vanta,NV5B,"Mar 22nd, 1999",AGP 4x,"16 MB, SDR, 64 bit",100 MHz,133 MHz,2 / 0 / 2 / 2
109,Riva TNT2 M64 Vanta-16,NV5B,"Mar 22nd, 1999",AGP 4x,"16 MB, SDR, 64 bit",100 MHz,133 MHz,2 / 0 / 2 / 2
110,Riva TNT2 PRO,NV5B,"Oct 12th, 1999",AGP 4x,"32 MB, SDR, 128 bit",143 MHz,167 MHz,2 / 0 / 2 / 2
111,Riva TNT2 Ultra,NV5B,"Mar 15th, 1999",AGP 4x,"32 MB, SDR, 128 bit",150 MHz,183 MHz,2 / 0 / 2 / 2
112,Voodoo4 4000 AGP,VSA-100,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
113,Voodoo4 4500 AGP,VSA-100,"Oct 13th, 2000",AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
114,Voodoo4 4500 PCI,VSA-100,"Oct 13th, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
115,Voodoo4 4800 AGP,VSA-100,Never Released,AGP 4x,"64 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
116,Voodoo4-2 4000 AGP,VSA-101,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
117,Voodoo4-2 4200 AGP,VSA-101,Never Released,AGP 4x,"16 MB, DDR, 128 bit",143 MHz,143 MHz,2 / 0 / 2 / 2
118,Voodoo4-2 4200 PCI 16 MB,VSA-101,Never Released,AGP 4x,"16 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
119,Voodoo4-2 4200 PCI 32 MB,VSA-101,Never Released,AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
120,Voodoo4-2 4800 AGP,VSA-101,Never Released,AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
121,Voodoo5 5000 AGP,VSA-100,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
122,Voodoo5 5000 PCI,VSA-100,Never Released,PCI,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
123,Voodoo5 5500 AGP,VSA-100,"Jun 22nd, 2000",AGP 2x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
124,Voodoo5 5500 PCI,VSA-100,"Jun 22nd, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
125,Voodoo5 6000,VSA-100,Never Released,AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
126,All-In-Wonder Radeon 7200,R100,"Jul 31st, 2000",PCI,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
127,Fire GL2,RC1000,"Jun 1st, 2000",AGP 4x,"64 MB, DDR, 256 bit",120 MHz,120 MHz,2 / 1 / 4 / 1
128,Fire GL3,RC1000,"Jun 1st, 2000",AGP 4x,"128 MB, DDR, 256 bit",120 MHz,125 MHz,2 / 1 / 4 / 1
129,GameCube GPU,Flipper,"Aug 24th, 2000",IGP,"16 MB, SDR, 64 bit",162 MHz,162 MHz,4 / 1 / 4 / 4
130,Radeon 7200,R100,"Jun 1st, 2000",AGP 4x,"32 MB, SDR, 128 bit",143 MHz,143 MHz,2 / 1 / 6 / 2
131,Radeon 7200,R100,"Apr 1st, 2000",AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
132,Radeon 7200 64 MB,R100,"Apr 1st, 2000",AGP 4x,"64 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
133,Radeon DDR,Rage 6,"Apr 1st, 2000",AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
134,Radeon DDR MAXX,Rage 6,"Jun 1st, 2000",AGP 2x,"32 MB, DDR, 128 bit",148 MHz,148 MHz,2 / 1 / 6 / 2
135,Radeon SDR,Rage 6,"Jun 1st, 2000",AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
136,Radeon SDR PCI,Rage 6,"Jun 1st, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
137,i815 Graphics,Solano,2000,FSB,System Shared,133 MHz,System Shared,2 / 0 / 1 / 1
138,Millennium G450,Condor,Apr 2000,PCI,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
139,Millennium G450 LP,Condor,Apr 2000,AGP 4x,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
140,GeForce2 GTS,NV15,"Apr 26th, 2000",AGP 4x,"32 MB, DDR, 128 bit",200 MHz,166 MHz,4 / 0 / 8 / 4
141,GeForce2 GTS PRO,NV15,"Apr 26th, 2000",AGP 4x,"32 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 0 / 8 / 4
142,GeForce2 Go,NV11B,"Nov 11th, 2000",AGP 4x,"64 MB, DDR, 64 bit",143 MHz,166 MHz,2 / 0 / 4 / 2
143,GeForce2 Go,NV11B,"Nov 11th, 2000",AGP 4x,"64 MB, DDR, 128 bit",143 MHz,166 MHz,2 / 0 / 4 / 2
144,GeForce2 MX,NV11,"Jun 28th, 2000",AGP 4x,"32 MB, SDR, 128 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
145,GeForce2 MX DH Pro TV,NV11,"Jun 28th, 2000",AGP 4x,"32 MB, SDR, 128 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
146,GeForce2 MX DH Pro TV PCI,NV11,"Jun 28th, 2000",PCI,"32 MB, SDR, 128 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
147,GeForce2 MX PCI,NV11,"Jun 28th, 2000",PCI,"32 MB, SDR, 64 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
148,GeForce2 PRO,NV15,"Dec 5th, 2000",AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 0 / 8 / 4
149,GeForce2 Ultra,NV15,"Aug 14th, 2000",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,230 MHz,4 / 0 / 8 / 4
150,Quadro2 MXR,NV11B,"Jul 25th, 2000",AGP 4x,"32 MB, SDR, 128 bit",200 MHz,183 MHz,2 / 0 / 4 / 4
151,Quadro2 MXR Low Profile,NV11B,"Jul 25th, 2000",AGP 4x,"32 MB, SDR, 128 bit",200 MHz,183 MHz,2 / 0 / 4 / 4
152,Vanta LT,NV5B,"Mar 1st, 2000",AGP 2x,"8 MB, SDR, 64 bit",105 MHz,100 MHz,2 / 0 / 2 / 2
153,Playstation 2 GPU 250nm,GS-250nm,"Mar 4th, 2000",IGP,"4 MB, eDRAM, 2560 bit",147 MHz,150 MHz,16 / 2 / 8 / 16
154,Spectre 1000,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 0 / 4 / 4
155,Spectre 2000,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 1 / 4 / 4
156,Spectre 3000,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 1 / 4 / 4
157,All-In-Wonder Radeon 8500,R200,"Nov 14th, 2001",AGP 8x,"128 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 2 / 8 / 4
158,All-In-Wonder Radeon 8500DV,R200,"Aug 30th, 2001",AGP 8x,"64 MB, DDR, 128 bit",230 MHz,190 MHz,4 / 2 / 8 / 4
159,Fire GL4,RC1000,"Mar 14th, 2001",AGP Pro 8x,"128 MB, DDR, 256 bit",150 MHz,150 MHz,2 / 1 / 4 / 1
160,FireGL 8700,R200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,270 MHz,4 / 2 / 8 / 4
161,FireGL 8800,R200,"Aug 14th, 2001",AGP 4x,"128 MB, DDR, 128 bit",300 MHz,290 MHz,4 / 2 / 8 / 4
162,Mobility FireGL 7800,M7,"Sep 29th, 2001",AGP 4x,"64 MB, DDR, 128 bit",280 MHz,200 MHz,2 / 0 / 2 / 2
163,Mobility Radeon 7500,M7,"Dec 1st, 2001",AGP 4x,"32 MB, DDR, 64 bit",280 MHz,200 MHz,2 / 0 / 2 / 1
164,Mobility Radeon 7500,M7,"Dec 1st, 2001",AGP 4x,"32 MB, DDR, 64 bit",230 MHz,183 MHz,2 / 1 / 2 / 1
165,Mobility Radeon 7500C,M7,"Dec 1st, 2001",AGP 4x,"16 MB, DDR, 64 bit",230 MHz,183 MHz,2 / 1 / 2 / 1
166,Radeon 7000,RV100,"Feb 19th, 2001",AGP 4x,"32 MB, DDR, 64 bit",183 MHz,183 MHz,1 / 0 / 3 / 1
167,Radeon 7000 PCI,RV100,"Feb 19th, 2001",PCI,"32 MB, DDR, 64 bit",133 MHz,133 MHz,1 / 0 / 3 / 1
168,Radeon 7500,RV200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",290 MHz,230 MHz,2 / 1 / 6 / 2
169,Radeon 7500 LE,RV200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,175 MHz,2 / 1 / 6 / 2
170,Radeon 8500,R200,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 2 / 8 / 4
171,Radeon DDR VIVO,Rage 6,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",183 MHz,183 MHz,2 / 1 / 6 / 2
172,Radeon DDR VIVO OEM,Rage 6,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
173,Radeon DDR VIVO SE,Rage 6,"Aug 14th, 2001",AGP 4x,"64 MB, DDR, 128 bit",187 MHz,180 MHz,2 / 1 / 6 / 2
174,Radeon LE,Rage 6,"May 1st, 2001",AGP 4x,"32 MB, DDR, 128 bit",148 MHz,148 MHz,2 / 1 / 6 / 2
175,Radeon VE,Rage 6,"Feb 19th, 2001",AGP 4x,"32 MB, DDR, 64 bit",183 MHz,183 MHz,1 / 0 / 3 / 1
176,Radeon VE PCI,Rage 6,"Feb 19th, 2001",PCI,"32 MB, DDR, 64 bit",183 MHz,183 MHz,1 / 0 / 3 / 1
177,i830M Graphics,Almador,2001,FSB,System Shared,166 MHz,System Shared,2 / 0 / 1 / 1
178,Millennium G550,Condor,"Nov 26th, 2001",AGP 4x,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
179,Millennium G550 PCIe,Condor,"Nov 26th, 2001",PCIe 1.0 x1,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
180,GeForce2 Go 100,NV11B,"Feb 6th, 2001",AGP 4x,"16 MB, DDR, 32 bit",125 MHz,166 MHz,2 / 0 / 4 / 2
181,GeForce2 Go 200,NV11B,"Feb 6th, 2001",AGP 4x,"32 MB, DDR, 64 bit",143 MHz,166 MHz,2 / 0 / 4 / 2
182,GeForce2 MX + nForce 220,Crush11,"Jun 4th, 2001",AGP 4x,System Shared,175 MHz,System Shared,2 / 0 / 4 / 2
183,GeForce2 MX + nForce 420,Crush11,"Jun 4th, 2001",AGP 4x,System Shared,175 MHz,System Shared,2 / 0 / 4 / 2
